Run        Total Entry        Event type 140        Event type 100        Fast scaler        
927        102540             102540                102540                102500     
928        46303              46303                 46303                 46300      
929        27827              27827                 27827                 27800      
930        15485              15485                 15485                 15449      
932        101482             101482                101482                101400     
933        3620795            3620795               3620795               3620700    
934        3113688            3113688               3113688               3113600    
935        1684333            1684333               1684333               1684312    
936        190236             190236                190236                190200     
937        149922             149922                149922                149900     
938        1147449            1147449               1147449               1147400    
939        97353              97353                 97353                 97300      
940        296086             296086                296086                296027     
941        4211229            4211229               4211229               4211200    
942        2932517            2932517               2932517               2932500    
943        906424             906424                906424                906400     
944        1817649            1817649               1817649               1817648    
945        1481387            1481387               1481387               1481300    
946        2302647            2302647               2302647               2302600    
947        1969989            1969989               1969989               1969903    
948        1048767            1048767               1048767               1048700    
949        7323               7323                  7323                  7307       
950        10481              10481                 10481                 10400      
952        4905               4905                  4905                  4900       
953        63402              63402                 63402                 63400      
954        36839              36839                 36839                 36800      
955        331298             331298                331298                331253     
958        6421               6421                  6421                  6400       
961        5123               5123                  5123                  5100       
962        4815               4815                  4815                  4800       
963        5285               5285                  5285                  5200       
964        5741               5741                  5741                  5700       
965        9117               9117                  9117                  9100       
966        3606               3606                  3606                  3600       
970        5319               5319                  5319                  5300       
971        26504              26504                 26504                 26500      
972        97611              97611                 97611                 97600      
973        195639             195639                195639                195617     
974        305436             305436                305436                305432     
975        91458              91458                 91458                 91400      
976        100146             100146                100146                100100     
